time,throttle_reference,angle_reference
2025/05/14 12:38:24.554291191,199,-134
2025/05/14 12:38:24.646763966,213,-134
2025/05/14 12:38:24.754082684,211,-134
2025/05/14 12:38:24.845062680,209,-134
2025/05/14 12:38:24.996400264,207,-134
2025/05/14 12:38:25.101877457,205,-134
2025/05/14 12:38:25.201526717,203,-134
2025/05/14 12:38:25.267100704,202,-134
2025/05/14 12:38:25.322636553,200,-134
2025/05/14 12:38:25.402682206,198,-134
2025/05/14 12:38:25.492441315,204,-132
2025/05/14 12:38:25.605815159,210,-135
2025/05/14 12:38:25.698859676,208,-135
2025/05/14 12:38:25.800179911,215,-132
2025/05/14 12:38:25.899358146,213,-132
2025/05/14 12:38:26.2478481,211,-132
2025/05/14 12:38:26.127111558,209,-132
2025/05/14 12:38:26.197591192,207,-132
2025/05/14 12:38:26.296985849,213,-135
2025/05/14 12:38:26.409156348,211,-135
2025/05/14 12:38:26.500702289,209,-135
2025/05/14 12:38:26.593250342,208,-135
2025/05/14 12:38:26.692905133,206,-135
2025/05/14 12:38:26.796640757,212,-132
2025/05/14 12:38:26.905234664,210,-132
2025/05/14 12:38:27.6071794,208,-132
2025/05/14 12:38:27.191923824,215,-130
2025/05/14 12:38:27.253577017,229,-130
2025/05/14 12:38:27.329851879,235,-128
2025/05/14 12:38:27.399451021,242,-127
2025/05/14 12:38:27.492679221,240,-127
2025/05/14 12:38:27.595772980,237,-127
2025/05/14 12:38:27.819769133,235,-127
2025/05/14 12:38:27.967825077,233,-127
2025/05/14 12:38:28.45416533,238,-129
2025/05/14 12:38:28.94531786,236,-129
2025/05/14 12:38:28.195955775,234,-129
2025/05/14 12:38:28.293397229,232,-129
2025/05/14 12:38:28.391641708,230,-129
2025/05/14 12:38:28.496006307,227,-129
2025/05/14 12:38:28.625774882,225,-129
2025/05/14 12:38:28.766356483,223,-129
2025/05/14 12:38:28.829594079,230,-127
2025/05/14 12:38:28.900626022,235,-129
2025/05/14 12:38:29.19336352,233,-129
2025/05/14 12:38:29.124578096,231,-129
2025/05/14 12:38:29.199964434,229,-129
2025/05/14 12:38:29.300413176,227,-129
2025/05/14 12:38:29.404435714,225,-129
2025/05/14 12:38:29.519079030,223,-129
2025/05/14 12:38:29.608259497,221,-129
2025/05/14 12:38:29.694533544,219,-129
2025/05/14 12:38:29.827831265,217,-129
2025/05/14 12:38:29.895761472,222,-132
2025/05/14 12:38:30.14387,220,-132
2025/05/14 12:38:30.104482877,218,-132
2025/05/14 12:38:30.192747215,225,-130
2025/05/14 12:38:30.297672939,222,-130
2025/05/14 12:38:30.396725952,220,-130
2025/05/14 12:38:30.500920868,218,-130
2025/05/14 12:38:30.598137331,225,-128
2025/05/14 12:38:30.698549455,223,-128
2025/05/14 12:38:30.796146136,228,-130
2025/05/14 12:38:30.891632684,226,-130
2025/05/14 12:38:31.27498362,224,-130
2025/05/14 12:38:31.116923776,222,-130
2025/05/14 12:38:31.217759971,220,-130
2025/05/14 12:38:31.299872268,218,-130
2025/05/14 12:38:31.413298366,216,-130
2025/05/14 12:38:31.500598478,214,-130
2025/05/14 12:38:31.593296599,212,-130
2025/05/14 12:38:31.692802550,218,-133
2025/05/14 12:38:31.800419228,216,-133
2025/05/14 12:38:31.895743034,222,-130
2025/05/14 12:38:32.8684399,220,-130
2025/05/14 12:38:32.101272479,218,-130
2025/05/14 12:38:32.225802140,222,-132
2025/05/14 12:38:32.292872826,220,-132
2025/05/14 12:38:32.395042383,218,-132
2025/05/14 12:38:32.497274282,216,-132
2025/05/14 12:38:32.595452946,214,-132
2025/05/14 12:38:32.703076977,212,-132
2025/05/14 12:38:32.795872067,210,-132
2025/05/14 12:38:32.891928108,216,-135
2025/05/14 12:38:33.9349126,214,-135
2025/05/14 12:38:33.105233578,212,-135
2025/05/14 12:38:33.204305176,210,-135
2025/05/14 12:38:33.299617742,208,-135
2025/05/14 12:38:33.442178122,207,-135
2025/05/14 12:38:33.494768663,205,-135
2025/05/14 12:38:33.596303111,203,-135
2025/05/14 12:38:33.703737060,201,-135
2025/05/14 12:38:33.800049545,207,-132
2025/05/14 12:38:33.898152099,205,-132
2025/05/14 12:38:33.998136107,204,-132
2025/05/14 12:38:34.98876670,202,-132
2025/05/14 12:38:34.196110608,200,-132
2025/05/14 12:38:34.297415410,207,-130
2025/05/14 12:38:34.394053786,205,-130
2025/05/14 12:38:34.628951725,203,-130
2025/05/14 12:38:34.869438609,201,-130
2025/05/14 12:38:35.38761640,199,-130
2025/05/14 12:38:35.202282973,197,-130
2025/05/14 12:38:35.371631060,204,-128
2025/05/14 12:38:35.547399307,203,-128
2025/05/14 12:38:35.595108575,201,-128
2025/05/14 12:38:35.695536659,199,-128
2025/05/14 12:38:35.793247083,197,-128
2025/05/14 12:38:35.891830281,195,-128
2025/05/14 12:38:35.997534769,194,-128
2025/05/14 12:38:36.195709892,201,-126
2025/05/14 12:38:36.244550764,208,-124
2025/05/14 12:38:36.326888442,216,-122
2025/05/14 12:38:36.398096073,224,-120
2025/05/14 12:38:36.499860432,231,-119
2025/05/14 12:38:36.597585488,239,-117
2025/05/14 12:38:36.693473224,247,-116
2025/05/14 12:38:36.791435376,254,-115
2025/05/14 12:38:36.893747632,261,-114
2025/05/14 12:38:36.994541092,259,-114
2025/05/14 12:38:37.162946369,257,-114
2025/05/14 12:38:37.213220142,254,-114
2025/05/14 12:38:37.294446235,252,-114
2025/05/14 12:38:37.397746669,250,-114
2025/05/14 12:38:37.525034094,248,-114
2025/05/14 12:38:37.596523616,245,-114
2025/05/14 12:38:37.697234723,243,-114
2025/05/14 12:38:37.803435446,246,-116
2025/05/14 12:38:37.903529023,243,-116
2025/05/14 12:38:37.997369925,241,-116
2025/05/14 12:38:38.95091221,239,-116
2025/05/14 12:38:38.195223796,237,-116
2025/05/14 12:38:38.301540369,235,-116
2025/05/14 12:38:38.394487451,233,-116
2025/05/14 12:38:38.489969550,231,-116
2025/05/14 12:38:38.592701019,228,-116
2025/05/14 12:38:38.731531301,226,-116
2025/05/14 12:38:38.800035189,224,-116
2025/05/14 12:38:38.900109803,222,-116
2025/05/14 12:38:39.2013625,220,-116
2025/05/14 12:38:39.100771583,218,-116
2025/05/14 12:38:39.199142417,216,-116
2025/05/14 12:38:39.291686952,220,-119
2025/05/14 12:38:39.391627638,218,-119
2025/05/14 12:38:39.492393741,216,-119
2025/05/14 12:38:39.596819809,214,-119
2025/05/14 12:38:39.694956369,212,-119
2025/05/14 12:38:39.794808777,210,-119
2025/05/14 12:38:39.924717894,208,-119
2025/05/14 12:38:39.996859238,206,-119
2025/05/14 12:38:40.106717087,204,-119
2025/05/14 12:38:40.316020748,212,-118
2025/05/14 12:38:40.405160198,220,-116
2025/05/14 12:38:40.483925240,229,-115
2025/05/14 12:38:40.533699805,237,-114
2025/05/14 12:38:40.593137072,245,-112
2025/05/14 12:38:40.697163685,253,-111
2025/05/14 12:38:40.796347883,261,-110
2025/05/14 12:38:40.896837429,268,-109
2025/05/14 12:38:40.994341907,276,-109
2025/05/14 12:38:41.124949066,274,-109
2025/05/14 12:38:41.189697115,271,-109
2025/05/14 12:38:41.295775929,269,-109
2025/05/14 12:38:41.406079691,270,-111
2025/05/14 12:38:41.496262694,268,-111
2025/05/14 12:38:41.599577029,266,-111
2025/05/14 12:38:41.697067039,263,-111
2025/05/14 12:38:41.798044212,261,-111
2025/05/14 12:38:41.893562871,258,-111
2025/05/14 12:38:41.991671916,256,-111
2025/05/14 12:38:42.94491670,254,-111
2025/05/14 12:38:42.192710315,252,-111
2025/05/14 12:38:42.330933030,249,-111
2025/05/14 12:38:42.397374669,247,-111
2025/05/14 12:38:42.491667317,245,-111
2025/05/14 12:38:42.600054412,243,-111
2025/05/14 12:38:42.701473291,240,-111
2025/05/14 12:38:42.806956520,238,-111
2025/05/14 12:38:42.897627490,236,-111
2025/05/14 12:38:42.994063919,234,-111
2025/05/14 12:38:43.95478244,232,-111
2025/05/14 12:38:43.191560579,230,-111
2025/05/14 12:38:43.296455541,232,-114
2025/05/14 12:38:43.397387488,230,-114
2025/05/14 12:38:43.523224243,228,-114
2025/05/14 12:38:43.589709970,226,-114
2025/05/14 12:38:43.695678823,224,-114
2025/05/14 12:38:43.797743941,222,-114
2025/05/14 12:38:43.898305732,220,-114
2025/05/14 12:38:43.992677624,218,-114
2025/05/14 12:38:44.101168842,216,-114
2025/05/14 12:38:44.200499204,214,-114
2025/05/14 12:38:44.301211764,212,-114
2025/05/14 12:38:44.395018931,210,-114
2025/05/14 12:38:44.494078589,208,-114
2025/05/14 12:38:44.593245364,206,-114
2025/05/14 12:38:44.732133972,204,-114
2025/05/14 12:38:44.796861636,202,-114
2025/05/14 12:38:44.890495502,201,-114
2025/05/14 12:38:44.993595918,199,-114
2025/05/14 12:38:45.97934714,207,-113
2025/05/14 12:38:45.199396528,216,-111
2025/05/14 12:38:45.294616627,214,-111
2025/05/14 12:38:45.395572063,212,-111
2025/05/14 12:38:45.499624649,210,-111
2025/05/14 12:38:45.597628087,208,-111
2025/05/14 12:38:45.696220132,206,-111
2025/05/14 12:38:45.790724509,204,-111
2025/05/14 12:38:45.929238763,205,-111
2025/05/14 12:38:46.5369111,203,-111
2025/05/14 12:38:46.95654424,201,-111
2025/05/14 12:38:46.193121356,199,-111
2025/05/14 12:38:46.291639680,198,-111
2025/05/14 12:38:46.399875152,196,-111
2025/05/14 12:38:46.496784105,194,-111
2025/05/14 12:38:46.594771540,192,-111
2025/05/14 12:38:46.693785291,190,-111
2025/05/14 12:38:46.793230644,189,-111
2025/05/14 12:38:46.890610487,187,-111
2025/05/14 12:38:46.997030508,185,-111
2025/05/14 12:38:47.121509453,184,-111
2025/05/14 12:38:47.191115434,182,-111
2025/05/14 12:38:47.300535205,180,-111
2025/05/14 12:38:47.396798282,179,-111
2025/05/14 12:38:47.492422233,177,-111
2025/05/14 12:38:47.591117683,175,-111
2025/05/14 12:38:47.692988845,174,-111
2025/05/14 12:38:47.798614312,172,-111
2025/05/14 12:38:47.895631214,171,-111
2025/05/14 12:38:47.996386634,169,-111
2025/05/14 12:38:48.96325079,178,-110
2025/05/14 12:38:48.191410595,188,-109
2025/05/14 12:38:48.328110444,197,-107
2025/05/14 12:38:48.391263846,206,-106
2025/05/14 12:38:48.491522277,204,-106
2025/05/14 12:38:48.593572916,213,-105
2025/05/14 12:38:48.698233610,211,-105
2025/05/14 12:38:48.795475602,209,-105
2025/05/14 12:38:48.891611227,207,-105
2025/05/14 12:38:48.993268562,205,-105
2025/05/14 12:38:49.228836508,204,-105
2025/05/14 12:38:49.283626096,205,-109
2025/05/14 12:38:49.340278897,203,-109
2025/05/14 12:38:49.401021975,201,-109
2025/05/14 12:38:49.525182976,200,-109
2025/05/14 12:38:49.599908485,198,-109
2025/05/14 12:38:49.692446206,196,-109
2025/05/14 12:38:49.796443092,194,-109
2025/05/14 12:38:49.896965134,192,-109
2025/05/14 12:38:49.995726632,191,-109
2025/05/14 12:38:50.96573148,189,-109
2025/05/14 12:38:50.190439009,191,-112
2025/05/14 12:38:50.291059690,189,-112
2025/05/14 12:38:50.397375041,188,-112
2025/05/14 12:38:50.500116842,186,-112
2025/05/14 12:38:50.598654467,184,-112
2025/05/14 12:38:50.725673472,183,-112
2025/05/14 12:38:50.798278633,181,-112
2025/05/14 12:38:50.895822552,179,-112
2025/05/14 12:38:50.996012541,178,-112
2025/05/14 12:38:51.102153916,176,-112
2025/05/14 12:38:51.194683343,179,-116
2025/05/14 12:38:51.299374104,183,-119
2025/05/14 12:38:51.397831484,187,-123
2025/05/14 12:38:51.489992787,192,-126
2025/05/14 12:38:51.590816574,191,-126
2025/05/14 12:38:51.696050989,189,-126
2025/05/14 12:38:51.797680434,187,-126
2025/05/14 12:38:51.931232771,185,-126
2025/05/14 12:38:51.991025437,184,-126
2025/05/14 12:38:52.97561725,182,-126
2025/05/14 12:38:52.192084235,187,-129
2025/05/14 12:38:52.295215282,193,-132
2025/05/14 12:38:52.397020499,199,-134
2025/05/14 12:38:52.493568512,198,-134
2025/05/14 12:38:52.593332745,196,-134
2025/05/14 12:38:52.693731551,202,-132
2025/05/14 12:38:52.789703496,200,-132
2025/05/14 12:38:52.892838730,199,-132
2025/05/14 12:38:52.997057750,197,-132
2025/05/14 12:38:53.131090598,195,-132
2025/05/14 12:38:53.192034199,201,-134
2025/05/14 12:38:53.294569589,207,-137
2025/05/14 12:38:53.399339549,206,-137
2025/05/14 12:38:53.498206904,204,-137
2025/05/14 12:38:53.597673390,210,-134
2025/05/14 12:38:53.694657698,208,-134
2025/05/14 12:38:53.799195546,206,-134
2025/05/14 12:38:53.892542746,204,-134
2025/05/14 12:38:54.9741759,202,-134
2025/05/14 12:38:54.99827646,209,-132
2025/05/14 12:38:54.198948860,223,-132
2025/05/14 12:38:54.327560523,229,-130
2025/05/14 12:38:54.399869502,236,-128
2025/05/14 12:38:54.494678025,234,-128
2025/05/14 12:38:54.594566860,231,-128
2025/05/14 12:38:54.698354793,229,-128
2025/05/14 12:38:54.797392110,227,-128
2025/05/14 12:38:54.893466329,225,-128
2025/05/14 12:38:54.994357233,223,-128
2025/05/14 12:38:55.128285927,230,-126
2025/05/14 12:38:55.207165672,244,-127
2025/05/14 12:38:55.299265660,257,-127
2025/05/14 12:38:55.403323973,263,-126
2025/05/14 12:38:55.525062928,276,-126
2025/05/14 12:38:55.591698801,282,-125
2025/05/14 12:38:55.693136946,289,-124
2025/05/14 12:38:55.804742574,295,-122
2025/05/14 12:38:55.899285114,292,-122
2025/05/14 12:38:55.994932209,290,-122
2025/05/14 12:38:56.98716031,287,-122
2025/05/14 12:38:56.197884565,285,-122
2025/05/14 12:38:56.294335353,282,-122
2025/05/14 12:38:56.393703578,289,-121
2025/05/14 12:38:56.490769824,286,-121
2025/05/14 12:38:56.594321249,284,-121
2025/05/14 12:38:56.726697289,281,-121
2025/05/14 12:38:56.797074604,279,-121
2025/05/14 12:38:56.891937536,285,-120
2025/05/14 12:38:56.992496322,283,-120
2025/05/14 12:38:57.101612918,280,-120
2025/05/14 12:38:57.192302093,278,-120
2025/05/14 12:38:57.293606156,275,-120
2025/05/14 12:38:57.394312775,273,-120
2025/05/14 12:38:57.500675873,270,-120
2025/05/14 12:38:57.598770862,274,-122
2025/05/14 12:38:57.693819238,271,-122
2025/05/14 12:38:57.792618700,269,-122
2025/05/14 12:38:57.929369047,266,-122
2025/05/14 12:38:57.997530905,264,-122
2025/05/14 12:38:58.95409468,262,-122
2025/05/14 12:38:58.190844779,259,-122
2025/05/14 12:38:58.294312482,257,-122
2025/05/14 12:38:58.401745002,255,-122
2025/05/14 12:38:58.491203949,258,-124
2025/05/14 12:38:58.590338268,256,-124
2025/05/14 12:38:58.696449182,254,-124
2025/05/14 12:38:58.796770161,252,-124
2025/05/14 12:38:58.892921103,249,-124
2025/05/14 12:38:58.990549892,247,-124
2025/05/14 12:38:59.246969792,254,-123
2025/05/14 12:38:59.334643252,266,-123
2025/05/14 12:38:59.394108822,273,-122
2025/05/14 12:38:59.490152318,279,-120
2025/05/14 12:38:59.592840019,286,-119
2025/05/14 12:38:59.696966044,293,-118
2025/05/14 12:38:59.790984273,300,-117
2025/05/14 12:38:59.896126156,306,-116
2025/05/14 12:38:59.999876016,304,-116
2025/05/14 12:39:00.212172875,311,-115
2025/05/14 12:39:00.316225821,322,-116
2025/05/14 12:39:00.393333435,333,-117
2025/05/14 12:39:00.470865817,339,-116
2025/05/14 12:39:00.523539779,345,-115
2025/05/14 12:39:00.592285201,356,-116
2025/05/14 12:39:00.697730667,362,-115
2025/05/14 12:39:00.800821713,368,-114
2025/05/14 12:39:00.891593287,374,-114
2025/05/14 12:39:00.993891814,379,-113
2025/05/14 12:39:01.96168192,385,-112
2025/05/14 12:39:01.191104353,391,-112
2025/05/14 12:39:01.292752944,397,-111
2025/05/14 12:39:01.397628505,393,-111
2025/05/14 12:39:01.498078945,399,-110
2025/05/14 12:39:01.630476463,396,-110
2025/05/14 12:39:01.700090218,401,-110
2025/05/14 12:39:01.796785684,398,-110
2025/05/14 12:39:01.890747861,404,-109
2025/05/14 12:39:02.6882206,400,-109
2025/05/14 12:39:02.98277499,397,-109
2025/05/14 12:39:02.192458288,393,-109
2025/05/14 12:39:02.298183254,390,-109
2025/05/14 12:39:02.394697535,387,-109
2025/05/14 12:39:02.490702542,384,-109
2025/05/14 12:39:02.595514119,380,-109
2025/05/14 12:39:02.695580592,381,-111
2025/05/14 12:39:02.835192736,377,-111
2025/05/14 12:39:02.891954404,374,-111
2025/05/14 12:39:02.995015913,371,-111
2025/05/14 12:39:03.93214542,368,-111
2025/05/14 12:39:03.203690374,365,-111
2025/05/14 12:39:03.293194389,361,-111
2025/05/14 12:39:03.392786865,362,-113
2025/05/14 12:39:03.493566802,359,-113
2025/05/14 12:39:03.619542027,356,-113
2025/05/14 12:39:03.711386841,353,-113
2025/05/14 12:39:03.795832282,363,-114
2025/05/14 12:39:03.901786267,361,-114
2025/05/14 12:39:04.21741227,367,-113
2025/05/14 12:39:04.91166087,364,-113
2025/05/14 12:39:04.193262186,361,-113
2025/05/14 12:39:04.295642257,367,-112
2025/05/14 12:39:04.396217057,364,-112
2025/05/14 12:39:04.496113248,361,-112
2025/05/14 12:39:04.593031073,367,-111
2025/05/14 12:39:04.696281987,377,-112
2025/05/14 12:39:04.801471055,383,-112
2025/05/14 12:39:04.897333698,379,-112
2025/05/14 12:39:04.996809193,385,-111
2025/05/14 12:39:05.104713933,382,-111
2025/05/14 12:39:05.227152651,379,-111
2025/05/14 12:39:05.293957303,385,-111
2025/05/14 12:39:05.395654266,381,-111
2025/05/14 12:39:05.496459766,378,-111
2025/05/14 12:39:05.595630627,375,-111
2025/05/14 12:39:05.693668554,372,-111
2025/05/14 12:39:05.795564328,368,-111
2025/05/14 12:39:05.898174380,378,-112
2025/05/14 12:39:05.996131537,375,-112
2025/05/14 12:39:06.93999797,372,-112
2025/05/14 12:39:06.194014024,370,-111
2025/05/14 12:39:06.308581534,376,-111
2025/05/14 12:39:06.427604164,373,-111
2025/05/14 12:39:06.490755820,370,-111
2025/05/14 12:39:06.595632906,375,-110
2025/05/14 12:39:06.701055840,372,-110
2025/05/14 12:39:06.796742203,372,-112
2025/05/14 12:39:06.894334866,369,-112
2025/05/14 12:39:06.996361161,366,-112
2025/05/14 12:39:07.99714438,363,-112
2025/05/14 12:39:07.198412574,360,-112
2025/05/14 12:39:07.291546094,357,-112
2025/05/14 12:39:07.391852047,354,-112
2025/05/14 12:39:07.498449642,351,-112
2025/05/14 12:39:07.630671465,357,-111
2025/05/14 12:39:07.692535710,367,-112
2025/05/14 12:39:07.793386905,373,-112
2025/05/14 12:39:07.896795648,370,-112
2025/05/14 12:39:07.998779968,376,-111
2025/05/14 12:39:08.92907485,372,-111
2025/05/14 12:39:08.191289917,369,-111
2025/05/14 12:39:08.306963256,375,-110
2025/05/14 12:39:08.396457200,372,-110
2025/05/14 12:39:08.491116347,369,-110
2025/05/14 12:39:08.591724147,379,-111
2025/05/14 12:39:08.691414240,385,-111
2025/05/14 12:39:08.830386976,394,-112
2025/05/14 12:39:08.908302905,400,-111
2025/05/14 12:39:09.109031,405,-110
2025/05/14 12:39:09.98210825,402,-110
2025/05/14 12:39:09.196022508,407,-110
2025/05/14 12:39:09.296921404,404,-110
2025/05/14 12:39:09.393533833,401,-110
2025/05/14 12:39:09.495153683,406,-109
2025/05/14 12:39:09.603067764,403,-109
2025/05/14 12:39:09.722068408,408,-109
2025/05/14 12:39:09.795251187,417,-110
2025/05/14 12:39:09.893932283,423,-109
2025/05/14 12:39:10.34362948,428,-109
2025/05/14 12:39:10.101764032,433,-108
2025/05/14 12:39:10.194397272,438,-108
2025/05/14 12:39:10.293135179,443,-107
2025/05/14 12:39:10.400610947,449,-107
2025/05/14 12:39:10.491825632,454,-106
2025/05/14 12:39:10.593582620,450,-106
2025/05/14 12:39:10.696580076,455,-106
2025/05/14 12:39:10.798964684,463,-107
2025/05/14 12:39:10.893136941,467,-107
2025/05/14 12:39:10.992796756,472,-106
2025/05/14 12:39:11.90603765,477,-106
2025/05/14 12:39:11.228069143,481,-105
2025/05/14 12:39:11.293949537,478,-105
2025/05/14 12:39:11.399385316,482,-105
2025/05/14 12:39:11.492703591,478,-105
2025/05/14 12:39:11.594443292,483,-105
2025/05/14 12:39:11.699703147,479,-105
2025/05/14 12:39:11.790895149,475,-105
2025/05/14 12:39:11.895544455,474,-106
2025/05/14 12:39:12.79405,470,-106
2025/05/14 12:39:12.91979817,466,-106
2025/05/14 12:39:12.195367058,471,-106
2025/05/14 12:39:12.297705765,467,-106
2025/05/14 12:39:12.419822811,472,-105
2025/05/14 12:39:12.493196749,468,-105
2025/05/14 12:39:12.594494838,464,-105
2025/05/14 12:39:12.699857483,461,-105
2025/05/14 12:39:12.798590002,460,-107
2025/05/14 12:39:12.899302942,456,-107
2025/05/14 12:39:12.997300480,452,-107
2025/05/14 12:39:13.93759031,448,-107
2025/05/14 12:39:13.198350503,445,-107
2025/05/14 12:39:13.294751957,441,-107
2025/05/14 12:39:13.394112501,437,-107
2025/05/14 12:39:13.493176701,434,-107
2025/05/14 12:39:13.623342775,430,-107
2025/05/14 12:39:13.693042000,430,-108
2025/05/14 12:39:13.793097740,426,-108
2025/05/14 12:39:13.894959398,423,-108
2025/05/14 12:39:14.5494,419,-108
2025/05/14 12:39:14.92825850,416,-108
2025/05/14 12:39:14.195357651,412,-108
2025/05/14 12:39:14.292879193,409,-108
2025/05/14 12:39:14.398349839,405,-108
2025/05/14 12:39:14.491100959,405,-110
2025/05/14 12:39:14.590695991,402,-110
2025/05/14 12:39:14.694949922,398,-110
2025/05/14 12:39:14.826963737,395,-110
2025/05/14 12:39:14.892659354,392,-110
2025/05/14 12:39:14.999495599,388,-110
2025/05/14 12:39:15.109698455,385,-110
2025/05/14 12:39:15.203563708,382,-110
2025/05/14 12:39:15.295611254,378,-110
2025/05/14 12:39:15.406298394,379,-111
2025/05/14 12:39:15.495740258,375,-111
2025/05/14 12:39:15.594653194,372,-111
2025/05/14 12:39:15.728436301,378,-111
2025/05/14 12:39:15.797453740,388,-112
2025/05/14 12:39:15.897455056,394,-111
2025/05/14 12:39:16.57937391,399,-110
2025/05/14 12:39:16.117845132,396,-110
2025/05/14 12:39:16.218196607,402,-110
2025/05/14 12:39:16.314617442,398,-110
2025/05/14 12:39:16.399160337,395,-110
2025/05/14 12:39:16.492115484,401,-109
2025/05/14 12:39:16.601144501,397,-109
2025/05/14 12:39:16.706830816,394,-109
2025/05/14 12:39:16.795658786,390,-109
2025/05/14 12:39:16.900236453,396,-109
2025/05/14 12:39:16.997329171,393,-109
2025/05/14 12:39:17.96548120,393,-110
2025/05/14 12:39:17.224834581,399,-110
2025/05/14 12:39:17.298324924,395,-110
2025/05/14 12:39:17.399540440,392,-110
2025/05/14 12:39:17.498095094,398,-109
2025/05/14 12:39:17.591297474,394,-109
2025/05/14 12:39:17.727062840,400,-109
2025/05/14 12:39:17.796680546,409,-110
2025/05/14 12:39:17.901812020,415,-109
2025/05/14 12:39:17.992573063,420,-109
2025/05/14 12:39:18.100723791,425,-108
2025/05/14 12:39:18.191683390,431,-108
2025/05/14 12:39:18.290855157,427,-108
2025/05/14 12:39:18.419610631,433,-107
2025/05/14 12:39:18.496826457,429,-107
2025/05/14 12:39:18.594625987,437,-108
2025/05/14 12:39:18.696056417,442,-108
2025/05/14 12:39:18.793183940,447,-107
2025/05/14 12:39:18.898774563,452,-107
2025/05/14 12:39:18.999019567,449,-107
2025/05/14 12:39:19.96230956,454,-106
2025/05/14 12:39:19.202539665,450,-106
2025/05/14 12:39:19.303158753,455,-106
2025/05/14 12:39:19.393355964,451,-106
2025/05/14 12:39:19.492899958,456,-106
2025/05/14 12:39:19.621266573,455,-107
2025/05/14 12:39:19.696933946,460,-107
2025/05/14 12:39:19.794253815,457,-107
2025/05/14 12:39:19.895811046,461,-106
2025/05/14 12:39:19.994418950,458,-106
2025/05/14 12:39:20.108080976,463,-106
2025/05/14 12:39:20.197544067,459,-106
2025/05/14 12:39:20.293609751,455,-106
2025/05/14 12:39:20.403965645,461,-106
2025/05/14 12:39:20.491972129,457,-106
2025/05/14 12:39:20.600488458,464,-107
2025/05/14 12:39:20.820361220,469,-106
2025/05/14 12:39:20.894090757,474,-106
2025/05/14 12:39:20.948375326,478,-105
2025/05/14 12:39:20.996621762,483,-105
2025/05/14 12:39:21.94760604,488,-105
2025/05/14 12:39:21.196706169,492,-104
2025/05/14 12:39:21.291712243,497,-104
2025/05/14 12:39:21.393487227,501,-104
2025/05/14 12:39:21.493390675,505,-103
2025/05/14 12:39:21.598015791,501,-103
2025/05/14 12:39:21.693609771,506,-104
2025/05/14 12:39:21.792868271,511,-103
2025/05/14 12:39:21.900984377,517,-104
2025/05/14 12:39:22.21566627,521,-104
2025/05/14 12:39:22.95457978,525,-104
2025/05/14 12:39:22.191149143,529,-103
2025/05/14 12:39:22.291239906,533,-103
2025/05/14 12:39:22.398829945,537,-103
2025/05/14 12:39:22.492129243,533,-103
2025/05/14 12:39:22.594330153,538,-104
2025/05/14 12:39:22.692044368,534,-104
2025/05/14 12:39:22.793721067,530,-104
2025/05/14 12:39:22.891795385,526,-104
2025/05/14 12:39:22.996711768,522,-104
2025/05/14 12:39:23.94495428,518,-104
2025/05/14 12:39:23.228128114,514,-104
2025/05/14 12:39:23.302715205,510,-104
2025/05/14 12:39:23.392996258,506,-104
2025/05/14 12:39:23.493949728,504,-105
2025/05/14 12:39:23.591621320,500,-105
2025/05/14 12:39:23.693383572,496,-105
2025/05/14 12:39:23.797787392,492,-105
2025/05/14 12:39:23.901151576,488,-105
2025/05/14 12:39:24.6902605,484,-105
2025/05/14 12:39:24.103050167,481,-105
2025/05/14 12:39:24.196295331,477,-105
2025/05/14 12:39:24.322231514,475,-106
2025/05/14 12:39:24.436116504,472,-106
2025/05/14 12:39:24.490143265,468,-106
2025/05/14 12:39:24.591195958,464,-106
2025/05/14 12:39:24.700692709,460,-106
2025/05/14 12:39:24.797364709,456,-106
2025/05/14 12:39:24.894671437,453,-106
2025/05/14 12:39:24.995690125,449,-106
2025/05/14 12:39:25.105002589,454,-106
2025/05/14 12:39:25.192924400,450,-106
2025/05/14 12:39:25.290758128,449,-107
2025/05/14 12:39:25.395310631,454,-107
2025/05/14 12:39:25.495288772,451,-107
2025/05/14 12:39:25.623470569,447,-107
2025/05/14 12:39:25.693866052,452,-106
2025/05/14 12:39:25.792371004,460,-107
2025/05/14 12:39:25.895886652,465,-107
2025/05/14 12:39:25.992534878,469,-106
2025/05/14 12:39:26.98143549,474,-106
2025/05/14 12:39:26.196574486,479,-106
2025/05/14 12:39:26.293873772,477,-107
2025/05/14 12:39:26.393173201,482,-107
2025/05/14 12:39:26.489870034,478,-107
2025/05/14 12:39:26.597626796,474,-107
2025/05/14 12:39:26.695010778,471,-107
2025/05/14 12:39:26.821387917,467,-107
2025/05/14 12:39:26.898644182,463,-107
2025/05/14 12:39:26.995484393,459,-107
2025/05/14 12:39:27.94441600,456,-107
2025/05/14 12:39:27.193510509,460,-106
2025/05/14 12:39:27.290392209,457,-106
2025/05/14 12:39:27.402454808,453,-106
2025/05/14 12:39:27.496214664,449,-106
2025/05/14 12:39:27.599801548,446,-106
2025/05/14 12:39:27.698834079,445,-108
2025/05/14 12:39:27.789702006,441,-108
2025/05/14 12:39:27.892777316,437,-108
2025/05/14 12:39:28.27004111,434,-108
2025/05/14 12:39:28.92254626,430,-108
2025/05/14 12:39:28.195517613,427,-108
2025/05/14 12:39:28.290912339,432,-107
2025/05/14 12:39:28.397163120,429,-107
2025/05/14 12:39:28.491126883,425,-107
2025/05/14 12:39:28.594684036,424,-109
